# timestamp tx ty tz qx qy qz qw
1341841278.842700005    -2.5508    0.9872    1.1019 -0.487105  0.767307 -0.351903  0.223902
1341841279.510699987   -2.50401   1.02015   1.10082 -0.465148  0.772974 -0.366582   0.22752
1341841280.182499886   -2.46987   1.11613   1.12604 -0.444288  0.782013 -0.368936  0.234413
1341841280.850699902   -2.37156   1.23055   1.13034 -0.375086  0.819577 -0.382397  0.203412
1341841281.554600000   -2.19351    1.3734    1.1284 -0.297299  0.856805  -0.38853   0.16292
1341841282.226500034   -1.89727   1.39941   1.08766 -0.206088  0.885184  -0.40164  0.112525
1341841282.898699999     -1.623   1.45561   1.09124 -0.141025  0.898773  -0.41107 0.0577986
1341841283.566499949   -1.39385   1.52915   1.10996 0.0450182  -0.90714   0.41793 0.0201066
1341841284.238800049    -1.17323    1.53068    1.09156 -0.0565852  -0.911013   0.401451  0.0754352
1341841284.906699896  -0.974448   1.50994   1.09598  -0.10074  -0.90691  0.399618 0.0875846
1341841285.612400055  -0.818861   1.49548   1.11662 -0.135484 -0.898117  0.405204  0.104114
1341841286.282700062    -0.6968   1.43702   1.10757 -0.167292 -0.895041  0.396525  0.116978
1341841286.950599909  -0.529448   1.44031   1.15122 -0.251309 -0.871497  0.391488  0.155158
1341841287.622699976  -0.420742   1.30247   1.14601 -0.301423  -0.85258  0.387855   0.17838
1341841288.294600010  -0.351338   1.11775   1.12689 -0.354716 -0.845074  0.360271  0.173875
1341841288.962699890  -0.293429   0.91849   1.13465 -0.399085 -0.830293  0.344967  0.179838
1341841289.634599924  -0.266508  0.740294   1.14391 -0.446096 -0.799478  0.336173  0.220954
1341841290.302999973  -0.238065  0.564992   1.13855 -0.506548 -0.756911  0.322142  0.258301
1341841290.974499941  -0.315468  0.395874   1.07716 -0.573709 -0.706827  0.288913  0.296282
1341841291.642600060  -0.363905  0.215987   1.03722 -0.629373 -0.658644   0.27879  0.303899
1341841292.314699888  -0.305099  0.050214   1.05182 -0.648407   -0.6411   0.26713   0.31177
1341841292.986599922  -0.257097 -0.106618   1.06502 -0.675294 -0.612009  0.249122  0.327662
1341841293.654799938  -0.225314 -0.247978    1.0763 -0.707281 -0.570654  0.226402    0.3505
1341841294.326600075  -0.212983 -0.366636   1.08639 -0.740968 -0.517121  0.200726  0.378499
1341841294.995199919  -0.220426  -0.45528   1.09729 -0.772761 -0.452747  0.173965  0.409385
1341841295.666599989   -0.25207 -0.521564   1.09155  -0.79167  -0.40203  0.179805   0.42344
1341841296.334800005  -0.317504 -0.595193   1.07538 -0.808427 -0.362546   0.19113  0.422464
1341841297.006500006  -0.377885 -0.685747   1.06256 -0.829945 -0.329255  0.171555  0.416356
1341841297.678600073  -0.469322 -0.757919   1.05544 -0.845384 -0.288235  0.145238   0.42562
1341841298.346600056  -0.542436 -0.879159   1.07905 -0.858806  -0.23911   0.11933  0.437079
1341841299.018500090  -0.707612 -0.947176    1.0735 -0.870504 -0.192604   0.11654  0.437658
1341841299.686599970  -0.892593 -0.985151   1.07967 -0.879028 -0.131106  0.100636  0.447206
1341841300.365600109    -1.08351  -0.955043    1.06279  -0.891232 -0.0851645  0.0721211   0.439604
1341841301.033600092    -1.26521  -0.975319    1.06769   -0.89575 -0.0471238  0.0502885   0.439183
1341841301.705699921      -1.43825    -0.979504      1.07081    -0.898689 -0.000696534    0.0235519     0.437952
1341841302.377599955    -1.60603  -0.984311    1.08122  -0.893807  0.0461507 -0.0112248    0.44593
1341841303.045599937    -1.77036  -0.969613    1.08852   -0.88525  0.0952503 -0.0459931   0.452929
1341841303.710599899    -1.94085  -0.886358    1.06738  -0.876522   0.153759 -0.0702478   0.450703
1341841304.378700018    -2.10737  -0.816554    1.06105  -0.866737   0.208306 -0.0891862   0.444321
1341841305.050600052   -2.27987 -0.840969   1.10721 -0.852851  0.269389 -0.113125  0.432755
1341841305.722700119   -2.36951 -0.709902   1.08705 -0.852017  0.294094 -0.109419   0.41905
1341841306.390700102   -2.34266 -0.552506   1.05788 -0.837997  0.331937 -0.142987  0.408819
1341841307.062700033   -2.31658 -0.453593   1.04206 -0.840112  0.342639 -0.154289  0.391159
1341841307.730600119   -2.39632 -0.366625   1.08735  -0.80896  0.395052 -0.187527  0.392877
1341841308.409899950   -2.53315 -0.249363   1.12681 -0.802706  0.418892 -0.167638  0.389987
1341841309.109499931   -2.53911  -0.10095   1.12916 -0.798047  0.444204 -0.171661  0.369236
1341841309.781599998    -2.52599 -0.0118684     1.1292  -0.784402   0.483224  -0.191884   0.338214
1341841310.446799994   -2.57892  0.020716   1.16134 -0.754866  0.542833 -0.220703  0.294618
1341841311.150700092   -2.54782  0.121786   1.14984 -0.736859  0.561215 -0.221159   0.30523
1341841311.818599939   -2.61617  0.167309   1.17649 -0.710057   0.59577 -0.244137  0.285086
1341841312.490499973   -2.63591  0.243262   1.17269 -0.687534   0.61898 -0.256627  0.279826
1341841313.169600010   -2.54491  0.341084   1.11845 -0.662235  0.640822 -0.274545  0.274622
1341841313.869499922   -2.52695  0.442561   1.11049 -0.629014  0.671802 -0.283058  0.270003
1341841314.570600033   -2.55857  0.544957   1.12939 -0.593364  0.707229 -0.287599  0.255017
1341841315.245599985   -2.58087  0.642309   1.14893 -0.553892  0.742116 -0.294038  0.236661
1341841315.910799980   -2.48224   0.72592   1.13016 -0.514235  0.770228 -0.295414  0.234611
1341841316.578599930   -2.36032  0.785486   1.10604 -0.484632  0.790026 -0.298719  0.227505
1341841317.250600100   -2.30341  0.820095   1.10075 -0.485972  0.795227 -0.303125  0.198897
